   Step   Time    Walltime(s) Profile
7000000  35.0000    35.8203   ▆▆▆▆▆▆▆▆▇▇▇▇▇▇▇▇████████████████▇▇▇▇▇▇▇▇▆▆▆▆▆▆▆▆
7500000  37.5000    38.3652   ▆▆▆▆▆▆▇▇▇▇▇▇▇▇▇██████████████████▇▇▇▇▇▇▇▇▇▆▆▆▆▆▆
8000000  40.0000    40.9144   ▆▆▆▇▇▇▇▇▇▇▇▇▇▇████████████████████▇▇▇▇▇▇▇▇▇▇▇▆▆▆
8500000  42.5000    43.4823   ▇▇▇▇▇▇▇▇▇▇▇▇▇▇████████████████████▇▇▇▇▇▇▇▇▇▇▇▇▇▇
9000000  45.0000    46.0357   ▇▇▇▇▇▇▇▇▇▇▇▇▇██████████████████████▇▇▇▇▇▇▇▇▇▇▇▇▇
9500000  47.5000    48.6058   ▇▇▇▇▇▇▇▇▇▇▇▇████████████████████████▇▇▇▇▇▇▇▇▇▇▇▇
10000000  50.0000    51.1413   ▇▇▇▇▇▇▇▇▇▇████████████████████████████▇▇▇▇▇▇▇▇▇▇
10500000  52.5000    53.6944   ▇▇▇▇▇▇▇▇▇██████████████████████████████▇▇▇▇▇▇▇▇▇
11000000  55.0000    56.2668   ▇▇▇▇▇▇████████████████████████████████████▇▇▇▇▇▇
11500000  57.5000    58.8591   ▇▇▇██████████████████████████████████████████▇▇▇
12000000  60.0000    61.4284   ████████████████████████████████████████████████
12500000  62.5000    63.9826   ████████████████████████████████████████████████
13000000  65.0000    66.5282   ████████████████████████████████████████████████
13500000  67.5000    69.0744   ████████████████████████████████████████████████
14000000  70.0000    71.6508   ████████████████████████████████████████████████
14500000  72.5000    74.1881   ████████████████████████████████████████████████
15000000  75.0000    76.7601   ████████████████████████████████████████████████
15500000  77.5000    79.3552   ████████████████████████████████████████████████
16000000  80.0000    81.9380   ████████████████████████████████████████████████
16500000  82.5000    84.5002   ████████████████████████████████████████████████
17000000  85.0000    87.1001   ████████████████████████████████████████████████
17500000  87.5000    89.7039   ████████████████████████████████████████████████
18000000  90.0000    92.2426   ████████████████████████████████████████████████
18500000  92.5000    94.7784   ████████████████████████████████████████████████
19000000  95.0000    97.3331   ████████████████████████████████████████████████
19500000  97.5000    99.8756   ████████████████████████████████████████████████
20000000 100.0000   102.4068   ████████████████████████████████████████████████
   Step   Time    Walltime(s) Profile
      0   0.0000     0.0020   ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
 500000   2.5000     2.8069   ▁▁▁▁▁▁▁▁▁▁▁▁▁▂▂▂▃▄▅▆▇▇████▇▇▆▅▄▃▂▂▂▁▁▁▁▁▁▁▁▁▁▁▁▁
1000000   5.0000     5.6187   ▁▁▁▁▁▁▁▁▁▂▂▂▃▃▄▄▅▅▆▇▇██████▇▇▆▅▅▄▄▃▃▂▂▂▁▁▁▁▁▁▁▁▁
1500000   7.5000     8.4265   ▁▁▁▁▁▁▂▂▂▂▃▃▄▄▅▅▆▆▇▇▇██████▇▇▇▆▆▅▅▄▄▃▃▂▂▂▂▁▁▁▁▁▁
2000000  10.0000    11.2111   ▁▁▂▂▂▂▂▂▃▃▃▄▄▅▅▆▆▇▇▇████████▇▇▇▆▆▅▅▄▄▃▃▃▂▂▂▂▂▂▁▁
2500000  12.5000    14.0129   ▂▂▂▂▂▂▃▃▃▄▄▄▅▅▆▆▆▇▇▇████████▇▇▇▆▆▆▅▅▄▄▄▃▃▃▂▂▂▂▂▂
3000000  15.0000    16.7812   ▂▂▂▃▃▃▃▄▄▄▅▅▅▆▆▆▇▇▇██████████▇▇▇▆▆▆▅▅▅▄▄▄▃▃▃▃▂▂▂
3500000  17.5000    19.5290   ▃▃▃▃▃▃▄▄▄▅▅▅▆▆▆▇▇▇▇██████████▇▇▇▇▆▆▆▅▅▅▄▄▄▃▃▃▃▃▃
4000000  20.0000    22.2853   ▃▃▃▄▄▄▄▄▅▅▅▆▆▆▆▇▇▇▇██████████▇▇▇▇▆▆▆▆▅▅▅▄▄▄▄▄▃▃▃
4500000  22.5000    25.0457   ▄▄▄▄▄▄▅▅▅▅▆▆▆▆▇▇▇▇████████████▇▇▇▇▆▆▆▆▅▅▅▅▄▄▄▄▄▄
5000000  25.0000    27.7936   ▄▄▄▅▅▅▅▅▅▆▆▆▆▇▇▇▇▇████████████▇▇▇▇▇▆▆▆▆▅▅▅▅▅▅▄▄▄
5500000  27.5000    30.5446   ▅▅▅▅▅▅▅▆▆▆▆▆▇▇▇▇▇██████████████▇▇▇▇▇▆▆▆▆▆▅▅▅▅▅▅▅
6000000  30.0000    33.2997   ▅▅▅▅▅▆▆▆▆▆▆▇▇▇▇▇▇██████████████▇▇▇▇▇▇▆▆▆▆▆▆▅▅▅▅▅
6500000  32.5000    36.0711   ▆▆▆▆▆▆▆▆▆▆▇▇▇▇▇▇████████████████▇▇▇▇▇▇▆▆▆▆▆▆▆▆▆▆
7000000  35.0000    38.8480   ▆▆▆▆▆▆▆▆▇▇▇▇▇▇▇▇████████████████▇▇▇▇▇▇▇▇▆▆▆▆▆▆▆▆
7500000  37.5000    41.6045   ▆▆▆▆▆▆▇▇▇▇▇▇▇▇▇██████████████████▇▇▇▇▇▇▇▇▇▆▆▆▆▆▆
8000000  40.0000    44.3400   ▆▆▆▇▇▇▇▇▇▇▇▇▇▇████████████████████▇▇▇▇▇▇▇▇▇▇▇▆▆▆
8500000  42.5000    47.1038   ▇▇▇▇▇▇▇▇▇▇▇▇▇▇████████████████████▇▇▇▇▇▇▇▇▇▇▇▇▇▇
9000000  45.0000    49.8480   ▇▇▇▇▇▇▇▇▇▇▇▇▇██████████████████████▇▇▇▇▇▇▇▇▇▇▇▇▇
9500000  47.5000    52.6014   ▇▇▇▇▇▇▇▇▇▇▇▇████████████████████████▇▇▇▇▇▇▇▇▇▇▇▇
10000000  50.0000    55.3775   ▇▇▇▇▇▇▇▇▇▇████████████████████████████▇▇▇▇▇▇▇▇▇▇
10500000  52.5000    58.1314   ▇▇▇▇▇▇▇▇▇██████████████████████████████▇▇▇▇▇▇▇▇▇
11000000  55.0000    60.8866   ▇▇▇▇▇▇████████████████████████████████████▇▇▇▇▇▇
11500000  57.5000    63.6338   ▇▇▇██████████████████████████████████████████▇▇▇
12000000  60.0000    66.3847   ████████████████████████████████████████████████
12500000  62.5000    69.1729   ████████████████████████████████████████████████
13000000  65.0000    71.9407   ████████████████████████████████████████████████
